ticket_id,report_time,address,district,subdistrict,status,description,resolution,reporting_agency,tags,upvotes,image_url,latitude,longitude,source,received_time
2025-CCFKDU,6 พ.ค. 68 21:49 น.,105/1 ซอย ราชวิถี 6 แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร 10400 ประเทศไทย,เขตพญาไท,แขวงสามเสนใน,ดำเนินการ 10 นาทีที่แล้ว,่พ่อค้าแม่ค้าขายของกันเยอะขวางทางเข้า รถสวนกันลำบาก,ดำเนินการ:,,"หาบเร่แผงลอย, ถนน, ผิดกฎจราจร",0,https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/bd0ae3296112cad349c7e35fc617d812.jpg,13.764840615556349,100.54212804881215,kafka,2025-05-06T15:44:37.711402
K3AFXK,6 พ.ค. 68 21:48 น.,3 ซอย รามคำแหง 60 แยก 12 แขวงหัวหมาก บางกะปิ กรุงเทพมหานคร 10240 ประเทศไทย,แขวงหัวหมาก,,ส่งต่อ 15 นาทีที่แล้ว,ปัญหา: ภายในซอยหมู่บ้านดังกล่าว บริเวณบ้านเลขที่ 3 พบมีการเชื่อมเหล็กและการก่อสร้างส่งเสียงดัง พบเห็...เพิ่มเติม,ดำเนินการ: -,,เสียง,0,https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/0cac81cc3f29facced5c2a365ba7d660.jpg,13.755278281724799,100.65115054992398,kafka,2025-05-06T15:44:37.712403
2025-N43PV4,6 พ.ค. 68 22:31 น.,"1290, ถนนสมเด็จพระเจ้าตากสิน, แขวงบุคคโล เขตธนบุรี กรุงเทพมหานคร, 10600 แขวงบุคคโล เขตธนบุรี กรุงเทพมหานคร 10600 ประเทศไทย",เขตธนบุรี,แขวงบุคคโล,รอรับเรื่อง 5 นาทีที่แล้ว,รถมอเตอร์ไซค์ขับขี่ บนทางเท้า,ดำเนินการ: -,,"ผิดกฎจราจร, ทางเท้า",0,https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/a0f9551e47bdbc22224e8ab9dc5cc746.jpg,13.71293590989365,100.48620183615373,kafka,2025-05-06T15:44:37.713401
RAP7A9,6 พ.ค. 68 22:30 น.,78/1 ปรีดี พนมยงค์ 41 แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110 ประเทศไทย,เขตวัฒนา,แขวงคลองตันเหนือ,ส่งต่อ 7 นาทีที่แล้ว,ปัญหา: ภายในซอยดังกล่าว บริเวณบ้านเลขที่ 1009/21 พบเพื่อนบ้านมีการขายสินค้าและส่งเสียงดังในยามวิกาล ...เพิ่มเติม,ดำเนินการ: -,,เสียง,0,https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/9533ef368e40485eb6f30dda5938a415.jpg,13.734626317847951,100.59055552337921,kafka,2025-05-06T15:44:37.715401
2025-3R89CZ,6 พ.ค. 68 22:29 น.,6 ถ. กาญจนาภิเษก แขวงทับช้าง สะพานสูง กรุงเทพมหานคร 10240 ประเทศไทย,แขวงทับช้าง,,รอรับเรื่อง 8 นาทีที่แล้ว,ทำถนน ปล่อยหลุมไว้ใหญ่มาก 3-4 วันแล้ว ล้อพัง,ดำเนินการ: -,,"ถนน, อุปกรณ์ชำรุด",0,https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/67b89b4cfca93faf50bb0af2d3ba0f3d.jpg,13.7547306545135,100.69971878002096,kafka,2025-05-06T15:44:37.716401
H8ZWDN,6 พ.ค. 68 22:28 น.,802/4 ถ. จันทน์ แขวงทุ่งวัดดอน เขตสาทร กรุงเทพมหานคร 10120 ประเทศไทย,เขตสาทร,แขวงทุ่งวัดดอน,ส่งต่อ 9 นาทีที่แล้ว,ปัญหา: ภายในซอยแยกดังกล่าว บริเวณบ้านเลขที่ 127 พบสาย(ไม่ทราบชนิด) ห้อยย้อยลงมา เกรงว่าจะทำให้ผู้ที่...เพิ่มเติม,ดำเนินการ: -,,จุดเสี่ยง,0,https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/cf668c6d6dd560b13124c25b16160e3f.jpg,13.70619711548605,100.5175579263072,kafka,2025-05-06T15:44:37.717401
2025-AEM6HZ,6 พ.ค. 68 22:27 น.,2 ซอย อ่อนนุช 60 แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250 ประเทศไทย,เขตสวนหลวง,แขวงสวนหลวง,รอรับเรื่อง 10 นาทีที่แล้ว,ช่วงเวลาเร่งด่วน มีรถสองแถวจอดคาป้าย มีรถส่งของจอดคา ตำรวจในป้อมไม่เห็นมีการกวดขัน เหมือนปล่อยจอยเลย...เพิ่มเติม,ดำเนินการ: -,,"ผิดกฎจราจร, แท็กซี่/รถเมล์",0,https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/f4274f1477ebd8b7b13a441b80036d5c.jpg,13.7289485168457,100.609592562866,kafka,2025-05-06T15:44:37.719402
2025-7HDVHD,6 พ.ค. 68 22:24 น.,37 ซอย จรัญสนิทวงศ์ 71 แขวงบางพลัด บางพลัด กรุงเทพมหานคร 10700 ประเทศไทย,แขวงบางพลัด,,ดำเนินการ 12 นาทีที่แล้ว,ขี่มอเตอร์ไซค์บนฟุตบาท,ดำเนินการ:,,ผิดกฎจราจร,0,https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/db9ce81c8553f6f94d0229430b510012.jpg,13.7857598412355,100.49601393865686,kafka,2025-05-06T15:44:37.720403
2025-N43PV4,6 พ.ค. 68 22:31 น.,"1290, ถนนสมเด็จพระเจ้าตากสิน, แขวงบุคคโล เขตธนบุรี กรุงเทพมหานคร, 10600 แขวงบุคคโล เขตธนบุรี กรุงเทพมหานคร 10600 ประเทศไทย",เขตธนบุรี,แขวงบุคคโล,รอรับเรื่อง 9 นาทีที่แล้ว,รถมอเตอร์ไซค์ขับขี่ บนทางเท้า,ดำเนินการ: -,,"ผิดกฎจราจร, ทางเท้า",0,https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/a0f9551e47bdbc22224e8ab9dc5cc746.jpg,13.71293590989365,100.48620183615373,kafka,2025-05-06T15:44:37.721401
RAP7A9,6 พ.ค. 68 22:30 น.,78/1 ปรีดี พนมยงค์ 41 แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110 ประเทศไทย,เขตวัฒนา,แขวงคลองตันเหนือ,ส่งต่อ 10 นาทีที่แล้ว,ปัญหา: ภายในซอยดังกล่าว บริเวณบ้านเลขที่ 1009/21 พบเพื่อนบ้านมีการขายสินค้าและส่งเสียงดังในยามวิกาล ...เพิ่มเติม,ดำเนินการ: -,,เสียง,0,https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/9533ef368e40485eb6f30dda5938a415.jpg,13.734626317847951,100.59055552337921,kafka,2025-05-06T15:44:37.722401
2025-3R89CZ,6 พ.ค. 68 22:29 น.,6 ถ. กาญจนาภิเษก แขวงทับช้าง สะพานสูง กรุงเทพมหานคร 10240 ประเทศไทย,แขวงทับช้าง,,รอรับเรื่อง 11 นาทีที่แล้ว,ทำถนน ปล่อยหลุมไว้ใหญ่มาก 3-4 วันแล้ว ล้อพัง,ดำเนินการ: -,,"ถนน, อุปกรณ์ชำรุด",0,https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/67b89b4cfca93faf50bb0af2d3ba0f3d.jpg,13.7547306545135,100.69971878002096,kafka,2025-05-06T15:44:37.724404
H8ZWDN,6 พ.ค. 68 22:28 น.,802/4 ถ. จันทน์ แขวงทุ่งวัดดอน เขตสาทร กรุงเทพมหานคร 10120 ประเทศไทย,เขตสาทร,แขวงทุ่งวัดดอน,ส่งต่อ 13 นาทีที่แล้ว,ปัญหา: ภายในซอยแยกดังกล่าว บริเวณบ้านเลขที่ 127 พบสาย(ไม่ทราบชนิด) ห้อยย้อยลงมา เกรงว่าจะทำให้ผู้ที่...เพิ่มเติม,ดำเนินการ: -,,จุดเสี่ยง,0,https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/cf668c6d6dd560b13124c25b16160e3f.jpg,13.70619711548605,100.5175579263072,kafka,2025-05-06T15:44:37.725403
2025-AEM6HZ,6 พ.ค. 68 22:27 น.,2 ซอย อ่อนนุช 60 แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250 ประเทศไทย,เขตสวนหลวง,แขวงสวนหลวง,รอรับเรื่อง 14 นาทีที่แล้ว,ช่วงเวลาเร่งด่วน มีรถสองแถวจอดคาป้าย มีรถส่งของจอดคา ตำรวจในป้อมไม่เห็นมีการกวดขัน เหมือนปล่อยจอยเลย...เพิ่มเติม,ดำเนินการ: -,,"ผิดกฎจราจร, แท็กซี่/รถเมล์",0,https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/f4274f1477ebd8b7b13a441b80036d5c.jpg,13.7289485168457,100.609592562866,kafka,2025-05-06T15:44:37.726402
2025-7HDVHD,6 พ.ค. 68 22:24 น.,37 ซอย จรัญสนิทวงศ์ 71 แขวงบางพลัด บางพลัด กรุงเทพมหานคร 10700 ประเทศไทย,แขวงบางพลัด,,ดำเนินการ 16 นาทีที่แล้ว,ขี่มอเตอร์ไซค์บนฟุตบาท,ดำเนินการ:,,ผิดกฎจราจร,0,https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/db9ce81c8553f6f94d0229430b510012.jpg,13.7857598412355,100.49601393865686,kafka,2025-05-06T15:44:37.728401
N42BX2,6 พ.ค. 68 22:41 น.,629/2 ซอย สุขสวัสดิ์ 26 แยก 10-3 แขวงบางปะกอก เขตราษฎร์บูรณะ กรุงเทพมหานคร 10140 ประเทศไทย,เขตราษฎร์บูรณะ,แขวงบางปะกอก,ส่งต่อ 3 นาทีที่แล้ว,ปัญหา: ภายในซอยแยกดังกล่าว บริเวณบ้านร้างที่เป็นจุดคัดแยกขยะซึ่งไม่มีผู้พักอาศัย พบกลุ่มคนมีการจับกล...เพิ่มเติม,ดำเนินการ: -,,เสียง,0,https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/691e15e15a33e84f8d5adafb97cf20cf.jpg,13.6743292199125,100.48791610848018,kafka,2025-05-06T16:09:08.197000
NMDLX6,6 พ.ค. 68 23:00 น.,สี่แยก ม.เกษตร 302 ถนน งามวงศ์วาน แขวงลาดยาว เขตจตุจักร กรุงเทพมหานคร 10900 ประเทศไทย,เขตจตุจักร,แขวงลาดยาว,ส่งต่อ 8 นาทีที่แล้ว,ปัญหา: อุโมงค์ลอดแยกเกษตร ภายในอุโมงค์ดังกล่าว ฝั่งมุ่งหน้ามหาวิทยาลัยเกษตรศาสตร์ บริเวณช่วงทางโค้งใ...เพิ่มเติม,ดำเนินการ: -,,ถนน,0,https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/2175d8006742248c23abfe5c9868d6a0.jpg,13.843314453606201,100.55999428862742,kafka,2025-05-06T16:09:54.299645
2025-AAFULG,6 พ.ค. 68 23:00 น.,RP9C+59R ถ. หทัยราษฎร์ แขวงมีนบุรี เขตมีนบุรี กรุงเทพมหานคร 10510 ประเทศไทย,เขตมีนบุรี,แขวงมีนบุรี,ส่งต่อ 6 นาทีที่แล้ว,"📢🔊แจ้งฟุทบาท ทางเท้าชำรุด😱
🚶🚶‍♀️🏃👩‍🦯👩‍🦽👩‍🦼👩‍🦯
แผ่นปูทรุดต่างระดับ เป็นหลุมร่อง
📸
📌ตล...เพิ่มเติม",ดำเนินการ:,,"ทางเท้า, อุปกรณ์ชำรุด, ผู้พิการ+ใช้ล้อ",0,https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/7ee559fa5cbcf601c428250cf357d23e.jpg,13.82474873207985,100.71986505243393,kafka,2025-05-06T16:10:08.381407
2025-A9UAYZ,6 พ.ค. 68 22:58 น.,1042 ถนน นราธิวาสราชนครินทร์ แขวงทุ่งมหาเมฆ เขตสาทร กรุงเทพมหานคร 10120 ประเทศไทย,เขตสาทร,แขวงทุ่งมหาเมฆ,รอรับเรื่อง 11 นาทีที่แล้ว,หลุมใหญ่ ช่วยซ่อมให้เรียบด้วย เสี่ยงอันตรายมาก,ดำเนินการ: -,,"ถนน, อาคารสถานที่ชำรุด, จุดเสี่ยง",0,https://storage.googleapis.com/traffy_public_bucket/attachment/2025-05/580e91658ac6c17b28ffcdfa273afb91.jpg,13.71536326524,100.5366260022814,kafka,2025-05-06T16:10:22.576220
